Country,Number of billionaires
United States of America,754
China,523
India,157
Germany,102
United Kingdom,82
Russia,79
Switzerland,78
Hong Kong,68
Italy,55
Singapore,46
Brazil,44
Australia,43
Taiwan,43
Canada,42
Japan,38
France,35
South Korea,29
Thailand,28
Sweden,26
Israel,26
Indonesia,25
Spain,25
Turkey,25
Monaco,17
United Arab Emirates,17
Philippines,14
Mexico,13
Austria,11
Malaysia,11
Netherlands,10
Norway,9
Kazakhstan,7
Denmark,7
Czech Republic,7
Finland,7
Vietnam,6
Ukraine,6
Chile,6
South Africa,5
Poland,5
Cyprus,5
Ireland,4
Egypt,4
Argentina,4
Belgium,3
Greece,3
Hungary,3
Cayman Islands,3
Nigeria,3
Romania,3
New Zealand,2
Qatar,2
Morocco,2
Bahamas,2
Bermuda,2
Slovakia,2
Lebanon,2
Peru,2
Colombia,1
Eswatini (Swaziland),1
Uzbekistan,1
Latvia,1
Oman,1
Cambodia,1
Luxembourg,1
British Virgin Islands,1
Portugal,1
Georgia,1
Algeria,1
Guernsey,1
Nepal,1
Uruguay,1
Liechtenstein,1
Turks and Caicos Islands,1
Tanzania,1
Bahrain,1
Andorra,1
Armenia,1
