Country,Population (millions),Sex ratio (males to females),Population aged 0 to 14 years old (percentage)
Afghanistan,42.65,1.02,42.9
Albania,2.79,0.978,16.8
Algeria,46.81,1.041,30.3
American Samoa,0.05,1.0190000000000001,27.0
Andorra,0.08,1.046,11.9
Angola,37.89,0.98,44.4
Anguilla,0.01,0.945,16.3
Antigua and Barbuda,0.09,0.9079999999999999,17.8
Argentina,45.7,0.985,21.6
Armenia,2.97,0.867,19.2
Aruba,0.11,0.895,16.8
Australia,26.71,0.985,17.8
Austria,9.12,0.97,14.2
Azerbaijan,10.34,0.961,21.8
Bahamas,0.4,0.914,17.9
Bahrain,1.61,1.6340000000000001,18.7
Bangladesh,173.56,0.9670000000000001,28.0
Barbados,0.28,0.9209999999999999,17.2
Belarus,9.06,0.873,16.3
Belgium,11.74,0.973,16.0
Belize,0.42,1.018,26.6
Benin,14.46,1.006,41.6
Bermuda,0.06,0.958,13.6
Bhutan,0.79,1.148,20.9
Bolivia,12.41,1.004,29.8
"Bonaire, St. Eustatius & Saba",0.03,1.061,15.8
Bosnia and Herz.,3.16,0.9079999999999999,13.0
Botswana,2.52,0.9940000000000001,32.1
Brazil,212.0,0.968,19.7
British Virgin Islands,0.04,0.9,14.5
Brunei,0.46,1.1320000000000001,20.8
Bulgaria,6.76,0.938,14.5
Burkina Faso,23.55,0.993,41.8
Burundi,14.05,0.987,44.7
Cabo Verde,0.52,1.035,25.5
Cambodia,17.64,0.961,29.8
Cameroon,29.12,0.993,41.4
Canada,39.74,0.986,15.1
Cayman Islands,0.07,1.008,16.2
Central African Rep.,5.33,0.9229999999999999,49.0
Chad,20.3,1.006,46.1
Chile,19.76,0.988,17.0
China,1419.32,1.038,16.0
"China, Hong Kong SAR",7.41,0.82,10.5
"China, Macao SAR",0.72,0.8540000000000001,13.9
Colombia,52.89,0.9740000000000001,20.3
Comoros,0.87,1.012,37.1
Congo,6.33,1.0,40.4
Cook Islands,0.01,0.9590000000000001,24.3
Costa Rica,5.13,0.977,18.8
Côte d'Ivoire,31.93,1.036,40.9
Croatia,3.88,0.932,13.9
Cuba,10.98,0.9740000000000001,15.3
Curaçao,0.19,0.9079999999999999,14.9
Cyprus,1.36,1.015,16.1
Czechia,10.74,0.973,15.4
North Korea,26.5,0.9790000000000001,18.9
Dem. Rep. Congo,109.28,0.985,46.0
Denmark,5.98,0.988,15.7
Djibouti,1.17,0.983,29.2
Dominica,0.07,1.0,17.9
Dominican Rep.,11.43,0.9890000000000001,26.6
Ecuador,18.14,0.9940000000000001,24.5
Egypt,116.54,1.02,32.0
El Salvador,6.34,0.905,24.8
Eq. Guinea,1.89,1.115,37.3
Eritrea,3.54,0.975,38.1
Estonia,1.36,0.9059999999999999,15.6
eSwatini,1.24,0.965,33.4
Ethiopia,132.06,1.004,39.1
Falkland Is.,0.0,0.975,16.3
Faroe Islands,0.06,1.069,20.0
Fiji,0.93,0.985,27.1
Finland,5.62,0.977,14.6
France,66.55,0.941,16.5
French Guiana,0.31,0.9279999999999999,31.1
French Polynesia,0.28,1.023,19.1
Gabon,2.54,1.031,36.5
Gambia,2.76,0.992,40.2
Georgia,3.81,0.873,20.8
Germany,84.55,0.976,13.9
Ghana,34.43,0.998,35.8
Gibraltar,0.04,0.991,17.6
Greece,10.05,0.9390000000000001,13.2
Greenland,0.06,1.109,20.8
Grenada,0.12,1.005,19.4
Guadeloupe,0.38,0.825,16.3
Guam,0.17,1.0270000000000001,26.0
Guatemala,18.41,0.9840000000000001,31.6
Guernsey,0.06,0.977,14.0
Guinea,14.75,0.98,40.9
Guinea-Bissau,2.2,0.977,38.8
Guyana,0.83,0.9490000000000001,29.2
Haiti,11.77,0.98,31.2
Honduras,10.83,1.014,30.6
Hungary,9.68,0.924,14.4
Iceland,0.39,1.0490000000000002,17.8
India,1450.94,1.065,24.6
Indonesia,283.49,1.0090000000000001,24.6
Iran,91.57,1.033,22.4
Iraq,46.04,1.008,36.6
Ireland,5.26,0.98,18.6
Isle of Man,0.08,0.981,14.2
Israel,9.39,0.992,27.4
Italy,59.34,0.956,11.9
Jamaica,2.84,0.978,18.7
Japan,123.75,0.953,11.4
Jersey,0.1,0.9740000000000001,14.3
Jordan,11.55,1.065,30.7
Kazakhstan,20.59,0.95,29.4
Kenya,56.43,0.9890000000000001,36.8
Kiribati,0.13,0.943,34.7
Kosovo,1.68,0.968,20.7
Kuwait,4.93,1.5719999999999998,18.2
Kyrgyzstan,7.19,0.978,32.3
Laos,7.77,1.01,30.2
Latvia,1.87,0.8640000000000001,15.4
Lebanon,5.81,0.9470000000000001,26.2
Lesotho,2.34,0.95,34.5
Liberia,5.61,0.997,39.5
Libya,7.38,1.034,27.4
Liechtenstein,0.04,0.987,14.3
Lithuania,2.86,0.894,14.7
Luxembourg,0.67,1.013,15.8
Madagascar,31.97,1.006,39.3
Malawi,21.66,0.953,40.7
Malaysia,35.56,1.099,21.8
Maldives,0.53,1.626,19.6
Mali,24.48,1.018,46.1
Malta,0.54,1.079,13.0
Marshall Islands,0.04,1.051,34.5
Martinique,0.34,0.831,14.9
Mauritania,5.17,0.963,42.7
Mauritius,1.27,0.997,14.8
Mayotte,0.33,0.9159999999999999,43.1
Mexico,130.86,0.9420000000000001,24.5
Micronesia (Fed. States of),0.11,0.987,31.8
Monaco,0.04,0.958,13.5
Mongolia,3.48,0.9940000000000001,32.2
Montenegro,0.64,0.9279999999999999,18.1
Montserrat,0.0,0.992,16.3
Morocco,38.08,1.0170000000000001,25.6
Mozambique,34.63,0.9420000000000001,44.5
Myanmar,54.5,0.991,24.3
Namibia,3.03,0.955,37.0
Nauru,0.01,1.037,37.8
Nepal,29.65,0.919,28.4
Netherlands,18.23,0.987,15.0
New Caledonia,0.29,0.973,21.3
New Zealand,5.21,0.988,18.1
Nicaragua,6.92,0.968,28.8
Niger,27.03,1.031,46.6
Nigeria,232.68,1.023,41.0
Niue,0.0,0.93,22.9
North Macedonia,1.82,0.9470000000000001,16.8
Northern Mariana Islands,0.04,1.119,22.0
Norway,5.58,1.016,16.2
Oman,5.28,1.646,24.7
Other non-specified areas,23.21,0.98,11.7
Pakistan,251.27,1.0290000000000001,36.7
Palau,0.02,1.167,18.2
Panama,4.52,1.0,24.9
Papua New Guinea,10.58,1.0590000000000002,33.5
Paraguay,6.93,1.006,28.6
Peru,34.22,0.9890000000000001,24.0
Philippines,115.84,0.995,27.9
Poland,38.54,0.94,14.8
Portugal,10.43,0.91,12.8
Puerto Rico,3.24,0.89,11.6
Qatar,3.05,2.4819999999999998,15.1
South Korea,51.72,0.997,10.6
Moldova,3.04,0.852,19.8
Réunion,0.88,0.905,20.8
Romania,19.02,0.9390000000000001,15.7
Russia,144.82,0.866,17.3
Rwanda,14.26,0.9520000000000001,37.4
Saint Barthélemy,0.01,0.883,19.1
Saint Helena,0.01,0.992,13.7
Saint Kitts and Nevis,0.05,0.9179999999999999,18.2
Saint Lucia,0.18,0.975,17.5
Saint Martin (French part),0.03,0.8690000000000001,21.3
Saint Pierre and Miquelon,0.01,0.976,13.7
Saint Vincent & Grenadines,0.1,1.038,21.3
Samoa,0.22,1.014,38.5
San Marino,0.03,0.9670000000000001,12.3
Sao Tome and Principe,0.24,0.988,37.8
Saudi Arabia,33.96,1.534,23.8
Senegal,18.5,1.034,38.2
Serbia,6.74,0.903,14.3
Seychelles,0.13,1.23,20.0
Sierra Leone,8.64,0.995,38.1
Singapore,5.83,1.069,11.7
Sint Maarten (Dutch part),0.04,0.948,15.1
Slovakia,5.51,0.9540000000000001,15.8
Slovenia,2.12,1.01,14.7
Solomon Islands,0.82,1.046,37.0
Somalia,19.01,1.004,46.6
South Africa,64.01,0.948,25.9
S. Sudan,11.94,0.968,38.9
Spain,47.91,0.9640000000000001,12.9
Sri Lanka,23.1,0.937,22.0
State of Palestine,5.5,0.986,38.0
Sudan,50.45,0.983,40.5
Suriname,0.63,0.998,25.6
Sweden,10.61,1.015,17.0
Switzerland,8.92,0.987,15.0
Syria,24.67,1.001,29.2
Tajikistan,10.59,0.966,36.3
Thailand,71.67,0.9490000000000001,14.7
Timor-Leste,1.4,1.0170000000000001,33.7
Togo,9.52,1.013,39.5
Tokelau,0.0,0.958,26.1
Tonga,0.1,0.895,35.4
Trinidad and Tobago,1.51,0.978,17.8
Tunisia,12.28,0.977,24.0
Turkey,87.47,0.997,21.4
Turkmenistan,7.49,0.9640000000000001,31.5
Turks and Caicos Islands,0.05,1.002,16.1
Tuvalu,0.01,1.048,32.9
Uganda,50.02,0.9840000000000001,43.5
Ukraine,37.86,0.8690000000000001,13.9
United Arab Emirates,11.03,1.77,16.1
United Kingdom,69.14,0.97,17.2
Tanzania,68.56,0.983,42.5
United States of America,345.43,1.01,17.3
United States Virgin Islands,0.08,0.909,16.5
Uruguay,3.39,0.9420000000000001,18.3
Uzbekistan,36.36,1.018,31.1
Vanuatu,0.33,1.0190000000000001,38.3
Venezuela,28.41,0.976,25.5
Vietnam,100.99,0.96,23.2
Wallis and Futuna Islands,0.01,0.907,20.4
W. Sahara,0.59,1.228,23.1
Yemen,40.58,1.0270000000000001,41.1
Zambia,21.32,0.98,41.5
Zimbabwe,16.63,0.9109999999999999,40.9
LLDCs,592.79,0.987,38.4
LDC§,1188.01,0.986,38.7
SIDS,73.46,0.998,24.5
