Country,Total fertility rate (children per women),Under five mortality rate for both sexes (proportion to live births),Life expectancy at birth (years),Population annual rate of increase (proportion)
Afghanistan,4.8,0.545,66.3,0.027999999999999997
Albania,1.3,0.083,79.8,-0.006999999999999999
Algeria,2.7,0.205,76.5,0.013999999999999999
American Samoa,2.3,0.10400000000000001,73.0,-0.016
Andorra,1.1,0.06,84.2,0.013000000000000001
Angola,5.0,0.631,64.8,0.03
Anguilla,1.4,0.055,79.5,0.01
Antigua and Barbuda,1.6,0.092,77.8,0.005
Argentina,1.5,0.102,77.5,0.003
Armenia,1.7,0.10400000000000001,75.8,-0.006999999999999999
Aruba,1.6,0.133,76.5,0.001
Australia,1.6,0.032,84.1,0.01
Austria,1.3,0.034,82.1,-0.001
Azerbaijan,1.7,0.16899999999999998,74.6,0.006
Bahamas,1.4,0.125,74.7,0.005
Bahrain,1.8,0.062,81.4,0.024
Bangladesh,2.1,0.21,74.9,0.012
Barbados,1.7,0.12300000000000001,76.3,0.001
Belarus,1.2,0.031,74.6,-0.006
Belgium,1.4,0.034,82.3,0.002
Belize,2.0,0.105,73.7,0.013999999999999999
Benin,4.5,0.775,61.0,0.024
Bermuda,1.4,0.023,82.5,-0.001
Bhutan,1.4,0.215,73.3,0.006
Bolivia,2.5,0.40399999999999997,68.7,0.013999999999999999
"Bonaire, St. Eustatius & Saba",1.5,0.124,77.6,0.023
Bosnia and Herz.,1.5,0.054000000000000006,78.0,-0.006999999999999999
Botswana,2.7,0.368,69.3,0.016
Brazil,1.6,0.13699999999999998,76.0,0.004
British Virgin Islands,1.0,0.12300000000000001,77.4,0.006999999999999999
Brunei,1.7,0.09300000000000001,75.5,0.008
Bulgaria,1.7,0.059000000000000004,75.8,-0.006
Burkina Faso,4.1,0.815,61.3,0.022000000000000002
Burundi,4.8,0.479,63.8,0.025
Cabo Verde,1.5,0.11599999999999999,76.2,0.005
Cambodia,2.5,0.222,70.8,0.012
Cameroon,4.3,0.6579999999999999,64.0,0.026000000000000002
Canada,1.3,0.047,82.7,0.01
Cayman Islands,1.5,0.015,80.5,0.019
Central African Rep.,6.0,0.9259999999999999,57.7,0.034
Chad,6.0,0.983,55.2,0.042
Chile,1.1,0.064,81.4,0.005
China,1.0,0.08,78.0,-0.002
"China, Hong Kong SAR",0.7,0.019,85.6,-0.005
"China, Macao SAR",0.7,0.034,83.2,0.004
Colombia,1.6,0.11699999999999999,77.9,0.01
Comoros,3.8,0.44799999999999995,67.0,0.019
Congo,4.1,0.387,66.0,0.024
Cook Islands,2.0,0.065,75.5,-0.035
Costa Rica,1.3,0.075,81.0,0.005
Croatia,1.5,0.04,78.8,-0.006999999999999999
Cuba,1.4,0.055999999999999994,78.3,-0.004
Curaçao,1.1,0.099,77.0,0.0
Cyprus,1.4,0.028999999999999998,81.8,0.009000000000000001
Czechia,1.5,0.026000000000000002,80.0,-0.01
Côte d'Ivoire,4.2,0.6629999999999999,62.1,0.024
Dem. Rep. Congo,6.0,0.7240000000000001,62.1,0.032
Denmark,1.5,0.034,82.1,0.005
Djibouti,2.6,0.491,66.2,0.013000000000000001
Dominica,1.5,0.317,71.3,-0.004
Dominican Rep.,2.2,0.315,73.9,0.008
Ecuador,1.8,0.121,77.6,0.009000000000000001
Egypt,2.7,0.162,71.8,0.016
El Salvador,1.8,0.113,72.3,0.004
Eq. Guinea,4.1,0.6920000000000001,63.9,0.024
Eritrea,3.7,0.33899999999999997,68.9,0.019
Estonia,1.4,0.023,79.3,-0.01
Ethiopia,3.9,0.43200000000000005,67.6,0.026000000000000002
Falkland Is.,1.7,0.10400000000000001,79.4,0.0
Faroe Islands,2.2,0.07,80.4,0.012
Fiji,2.3,0.204,67.5,0.005
Finland,1.3,0.023,82.1,0.002
France,1.6,0.038,83.5,0.002
French Guiana,3.3,0.111,77.2,0.017
French Polynesia,1.5,0.06,84.2,0.002
Gabon,3.6,0.363,68.5,0.021
Gambia,3.9,0.431,66.1,0.023
Georgia,1.8,0.077,74.7,0.0
Germany,1.4,0.034,81.5,-0.003
Ghana,3.3,0.401,65.7,0.019
Gibraltar,1.9,0.10400000000000001,83.6,0.021
Greece,1.3,0.034,82.0,-0.018000000000000002
Greenland,1.9,0.114,70.2,-0.002
Grenada,1.5,0.14400000000000002,75.4,0.001
Guadeloupe,2.1,0.08,82.2,-0.003
Guam,2.7,0.11800000000000001,77.4,0.006999999999999999
Guatemala,2.3,0.212,72.7,0.015
Guernsey,1.4,0.066,83.4,0.003
Guinea,4.1,0.92,60.9,0.023
Guinea-Bissau,3.8,0.682,64.3,0.022000000000000002
Guyana,2.4,0.222,70.3,0.006
Haiti,2.6,0.568,65.1,0.011000000000000001
Honduras,2.5,0.15,73.0,0.017
Hungary,1.5,0.036000000000000004,77.2,-0.003
Iceland,1.5,0.016,83.0,0.013999999999999999
India,2.0,0.282,72.2,0.009000000000000001
Indonesia,2.1,0.19899999999999998,71.3,0.008
Iran,1.7,0.109,77.9,0.01
Iraq,3.2,0.22399999999999998,72.4,0.021
Ireland,1.6,0.032,82.6,0.011000000000000001
Isle of Man,1.5,0.134,81.1,0.0
Israel,2.8,0.037000000000000005,82.7,0.013999999999999999
Italy,1.2,0.026000000000000002,83.9,-0.003
Jamaica,1.4,0.18899999999999997,71.6,0.0
Japan,1.2,0.023,84.9,-0.005
Jersey,1.4,0.098,79.8,0.002
Jordan,2.6,0.133,78.0,0.004
Kazakhstan,3.0,0.079,74.5,0.012
Kenya,3.2,0.401,63.8,0.019
Kiribati,3.1,0.539,66.6,0.015
Kosovo,1.5,0.1,78.2,-0.006999999999999999
Kuwait,1.5,0.076,80.6,0.02
Kyrgyzstan,2.8,0.146,71.8,0.015
LDC§,3.9,0.5539999999999999,66.5,0.023
LLDCs,3.8,0.524,66.8,0.022000000000000002
Laos,2.4,0.37200000000000005,69.2,0.013000000000000001
Latvia,1.3,0.034,76.3,-0.008
