Country,Number of international migrants,Country,International migrants in proportion to population
Afghanistan,144098,Afghanistan,0.004
Albania,48810,Albania,0.017
Algeria,250378,Algeria,0.006
American Samoa,23608,American Samoa,0.428
Andorra,45574,Andorra,0.59
Angola,656434,Angola,0.02
Anguilla,5715,Anguilla,0.381
Antigua and Barbuda,29386,Antigua and Barbuda,0.3
Argentina,2281728,Argentina,0.05
Armenia,190349,Armenia,0.064
Aruba,53593,Aruba,0.502
Australia,7685860,Australia,0.301
Austria,1738183,Austria,0.193
Azerbaijan,252228,Azerbaijan,0.025
Bahamas,63583,Bahamas,0.162
Bahrain,936094,Bahrain,0.55
Bangladesh,2115408,Bangladesh,0.013000000000000001
Barbados,34869,Barbados,0.121
Belarus,1067090,Belarus,0.113
Belgium,2005479,Belgium,0.17300000000000001
Belize,62043,Belize,0.156
Benin,394276,Benin,0.033
Bermuda,19739,Bermuda,0.317
Bhutan,53612,Bhutan,0.069
Bolivia,164121,Bolivia,0.013999999999999999
"Bonaire, St. Eustatius & Saba",26221,"Bonaire, St. Eustatius & Saba",1.0
Bosnia and Herz.,36042,Bosnia and Herz.,0.011000000000000001
Botswana,110268,Botswana,0.047
Brazil,1079708,Brazil,0.005
British Virgin Islands,22164,British Virgin Islands,0.733
Brunei,111959,Brunei,0.256
Bulgaria,184363,Bulgaria,0.027000000000000003
Burkina Faso,723989,Burkina Faso,0.035
Burundi,344767,Burundi,0.028999999999999998
Cabo Verde,15788,Cabo Verde,0.027999999999999997
Cambodia,79341,Cambodia,0.005
Cameroon,579209,Cameroon,0.022000000000000002
Canada,8049323,Canada,0.213
Cayman Islands,29242,Cayman Islands,0.445
Central African Rep.,88546,Central African Rep.,0.018000000000000002
Chad,547494,Chad,0.033
Channel Islands,84087,Channel Islands,0.484
Chile,1645015,Chile,0.086
China,1039675,China,0.001
"China, Hong Kong SAR",2962492,"China, Hong Kong SAR",0.395
"China, Macao SAR",403490,"China, Macao SAR",0.621
Colombia,1905393,Colombia,0.037000000000000005
Comoros,12496,Comoros,0.013999999999999999
Congo,387606,Congo,0.07
Cook Islands,4579,Cook Islands,0.261
Costa Rica,520729,Costa Rica,0.102
Côte d'Ivoire,2564857,Côte d'Ivoire,0.09699999999999999
Croatia,528056,Croatia,0.129
Cuba,3024,Cuba,0.0
Curaçao,57210,Curaçao,0.349
Cyprus,190366,Cyprus,0.158
Czechia,540921,Czechia,0.051
North Korea,49549,North Korea,0.002
Dem. Rep. Congo,952871,Dem. Rep. Congo,0.011000000000000001
Denmark,717574,Denmark,0.124
Djibouti,119738,Djibouti,0.121
Dominica,8284,Dominica,0.115
Dominican Rep.,603794,Dominican Rep.,0.055999999999999994
Ecuador,784787,Ecuador,0.044000000000000004
Egypt,543937,Egypt,0.005
El Salvador,42767,El Salvador,0.006999999999999999
Eq. Guinea,230618,Eq. Guinea,0.16399999999999998
Eritrea,13934,Eritrea,0.004
Estonia,199277,Estonia,0.15
eSwatini,32858,eSwatini,0.027999999999999997
Ethiopia,1085517,Ethiopia,0.009000000000000001
Falkland Is.,1957,Falkland Is.,0.562
Faroe Islands,6812,Faroe Islands,0.139
Fiji,14087,Fiji,0.016
Finland,386052,Finland,0.07
France,8524876,France,0.131
French Guiana,119249,French Guiana,0.39899999999999997
French Polynesia,30081,French Polynesia,0.107
Gabon,416651,Gabon,0.187
Gambia,215659,Gambia,0.08900000000000001
Georgia,79368,Georgia,0.02
Germany,15762457,Germany,0.188
Ghana,476412,Ghana,0.015
Gibraltar,11190,Gibraltar,0.332
Greece,1340456,Greece,0.129
Greenland,5899,Greenland,0.10400000000000001
Grenada,7213,Grenada,0.064
Guadeloupe,90206,Guadeloupe,0.225
Guam,80472,Guam,0.47700000000000004
Guatemala,84311,Guatemala,0.005
Guinea,121437,Guinea,0.009000000000000001
Guinea-Bissau,17945,Guinea-Bissau,0.009000000000000001
Guyana,31169,Guyana,0.04
Haiti,18884,Haiti,0.002
Holy See,809,Holy See,1.0
Honduras,39195,Honduras,0.004
Hungary,584567,Hungary,0.061
Iceland,65424,Iceland,0.192
India,4878704,India,0.004
Indonesia,355505,Indonesia,0.001
Iran,2797235,Iran,0.033
Iraq,365766,Iraq,0.009000000000000001
Ireland,871256,Ireland,0.17600000000000002
Isle of Man,43040,Isle of Man,0.506
Israel,1953575,Israel,0.226
Italy,6386998,Italy,0.106
Jamaica,23629,Jamaica,0.008
Japan,2770996,Japan,0.022000000000000002
Jordan,3457691,Jordan,0.33899999999999997
Kazakhstan,3732073,Kazakhstan,0.19899999999999998
Kenya,1050147,Kenya,0.02
Kiribati,3126,Kiribati,0.026000000000000002
Kuwait,3110159,Kuwait,0.728
Kyrgyzstan,199011,Kyrgyzstan,0.031
Laos,48731,Laos,0.006999999999999999
Latvia,239422,Latvia,0.127
Lebanon,1712762,Lebanon,0.251
Lesotho,12060,Lesotho,0.006
Liberia,87947,Liberia,0.017
Libya,826537,Libya,0.12
Liechtenstein,25877,Liechtenstein,0.679
Lithuania,145184,Lithuania,0.053
Luxembourg,298062,Luxembourg,0.47600000000000003
Madagascar,35563,Madagascar,0.001
Malawi,191362,Malawi,0.01
Malaysia,3476560,Malaysia,0.107
Maldives,70079,Maldives,0.13
Mali,485829,Mali,0.024
Malta,114760,Malta,0.26
Marshall Islands,3298,Marshall Islands,0.055999999999999994
Martinique,68624,Martinique,0.183
