Country,Population (millions),Country,Sex ratio (males to females),Country,Sex ratio (males to females),Country,Population aged 60+ years old (proportion),Country,Population density (per km2)
Afghanistan,42.65,Afghanistan,1.02,Afghanistan,1.02,Afghanistan,0.039,Afghanistan,65.7
Albania,2.79,Albania,0.978,Albania,0.978,Albania,0.235,Albania,101.9
Algeria,46.81,Algeria,1.041,Algeria,1.041,Algeria,0.1,Algeria,19.7
American Samoa,0.05,American Samoa,1.0190000000000001,American Samoa,1.0190000000000001,American Samoa,0.129,American Samoa,233.8
Andorra,0.08,Andorra,1.046,Andorra,1.046,Andorra,0.23199999999999998,Andorra,174.3
Angola,37.89,Angola,0.98,Angola,0.98,Angola,0.046,Angola,30.4
Anguilla,0.01,Anguilla,0.945,Anguilla,0.945,Anguilla,0.184,Anguilla,165.9
Antigua and Barbuda,0.09,Antigua and Barbuda,0.9079999999999999,Antigua and Barbuda,0.9079999999999999,Antigua and Barbuda,0.177,Antigua and Barbuda,213.1
Argentina,45.7,Argentina,0.985,Argentina,0.985,Argentina,0.168,Argentina,16.4
Armenia,2.97,Armenia,0.867,Armenia,0.867,Armenia,0.204,Armenia,104.5
Aruba,0.11,Aruba,0.895,Aruba,0.895,Aruba,0.248,Aruba,600.4
Australia,26.71,Australia,0.985,Australia,0.985,Australia,0.235,Australia,3.5
Austria,9.12,Austria,0.97,Austria,0.97,Austria,0.27899999999999997,Austria,110.5
Azerbaijan,10.34,Azerbaijan,0.961,Azerbaijan,0.961,Azerbaijan,0.142,Azerbaijan,125.1
Bahamas,0.4,Bahamas,0.914,Bahamas,0.914,Bahamas,0.17,Bahamas,74.9
Bahrain,1.61,Bahrain,1.6340000000000001,Bahrain,1.6340000000000001,Bahrain,0.067,Bahrain,2052.4
Bangladesh,173.56,Bangladesh,0.9670000000000001,Bangladesh,0.9670000000000001,Bangladesh,0.095,Bangladesh,1333.4
Barbados,0.28,Barbados,0.9209999999999999,Barbados,0.9209999999999999,Barbados,0.233,Barbados,656.9
Belarus,9.06,Belarus,0.873,Belarus,0.873,Belarus,0.25,Belarus,44.6
Belgium,11.74,Belgium,0.973,Belgium,0.973,Belgium,0.272,Belgium,387.7
Belize,0.42,Belize,1.018,Belize,1.018,Belize,0.08,Belize,18.3
Benin,14.46,Benin,1.006,Benin,1.006,Benin,0.05,Benin,128.3
Bermuda,0.06,Bermuda,0.958,Bermuda,0.958,Bermuda,0.299,Bermuda,1197.0
Bhutan,0.79,Bhutan,1.148,Bhutan,1.148,Bhutan,0.096,Bhutan,20.6
Bolivia,12.41,Bolivia,1.004,Bolivia,1.004,Bolivia,0.085,Bolivia,11.5
"Bonaire, St. Eustatius & Saba",0.03,"Bonaire, St. Eustatius & Saba",1.061,"Bonaire, St. Eustatius & Saba",1.061,"Bonaire, St. Eustatius & Saba",0.217,"Bonaire, St. Eustatius & Saba",93.5
Bosnia and Herz.,3.16,Bosnia and Herz.,0.9079999999999999,Bosnia and Herz.,0.9079999999999999,Bosnia and Herz.,0.302,Bosnia and Herz.,61.8
Botswana,2.52,Botswana,0.9940000000000001,Botswana,0.9940000000000001,Botswana,0.061,Botswana,4.4
Brazil,212.0,Brazil,0.968,Brazil,0.968,Brazil,0.161,Brazil,25.4
British Virgin Islands,0.04,British Virgin Islands,0.9,British Virgin Islands,0.9,British Virgin Islands,0.15,British Virgin Islands,256.3
Brunei,0.46,Brunei,1.1320000000000001,Brunei,1.1320000000000001,Brunei,0.109,Brunei,80.3
Bulgaria,6.76,Bulgaria,0.938,Bulgaria,0.938,Bulgaria,0.28600000000000003,Bulgaria,62.3
Burkina Faso,23.55,Burkina Faso,0.993,Burkina Faso,0.993,Burkina Faso,0.043,Burkina Faso,86.1
Burundi,14.05,Burundi,0.987,Burundi,0.987,Burundi,0.039,Burundi,541.3
Cabo Verde,0.52,Cabo Verde,1.035,Cabo Verde,1.035,Cabo Verde,0.106,Cabo Verde,130.2
Cambodia,17.64,Cambodia,0.961,Cambodia,0.961,Cambodia,0.096,Cambodia,97.4
Cameroon,29.12,Cameroon,0.993,Cameroon,0.993,Cameroon,0.044000000000000004,Cameroon,62.5
Canada,39.74,Canada,0.986,Canada,0.986,Canada,0.266,Canada,4.4
Cayman Islands,0.07,Cayman Islands,1.008,Cayman Islands,1.008,Cayman Islands,0.145,Cayman Islands,309.0
Central African Rep.,5.33,Central African Rep.,0.9229999999999999,Central African Rep.,0.9229999999999999,Central African Rep.,0.036000000000000004,Central African Rep.,8.6
Chad,20.3,Chad,1.006,Chad,1.006,Chad,0.035,Chad,16.1
Chile,19.76,Chile,0.988,Chile,0.988,Chile,0.196,Chile,26.2
China,1419.32,China,1.038,China,1.038,China,0.20600000000000002,China,147.8
"China, Hong Kong SAR",7.41,"China, Hong Kong SAR",0.82,"China, Hong Kong SAR",0.82,"China, Hong Kong SAR",0.311,"China, Hong Kong SAR",6747.0
"China, Macao SAR",0.72,"China, Macao SAR",0.8540000000000001,"China, Macao SAR",0.8540000000000001,"China, Macao SAR",0.21100000000000002,"China, Macao SAR",22508.2
Colombia,52.89,Colombia,0.9740000000000001,Colombia,0.9740000000000001,Colombia,0.146,Colombia,47.1
Comoros,0.87,Comoros,1.012,Comoros,1.012,Comoros,0.067,Comoros,465.7
Congo,6.33,Congo,1.0,Congo,1.0,Congo,0.05,Congo,18.5
Cook Islands,0.01,Cook Islands,0.9590000000000001,Cook Islands,0.9590000000000001,Cook Islands,0.204,Cook Islands,57.2
Costa Rica,5.13,Costa Rica,0.977,Costa Rica,0.977,Costa Rica,0.175,Costa Rica,100.5
Côte d'Ivoire,31.93,Côte d'Ivoire,1.036,Côte d'Ivoire,1.036,Côte d'Ivoire,0.043,Côte d'Ivoire,100.4
Croatia,3.88,Croatia,0.932,Croatia,0.932,Croatia,0.305,Croatia,69.3
Cuba,10.98,Cuba,0.9740000000000001,Cuba,0.9740000000000001,Cuba,0.24,Cuba,102.8
Curaçao,0.19,Curaçao,0.9079999999999999,Curaçao,0.9079999999999999,Curaçao,0.237,Curaçao,437.5
Cyprus,1.36,Cyprus,1.015,Cyprus,1.015,Cyprus,0.2,Cyprus,147.0
Czechia,10.74,Czechia,0.973,Czechia,0.973,Czechia,0.265,Czechia,139.1
North Korea,26.5,North Korea,0.9790000000000001,North Korea,0.9790000000000001,North Korea,0.18100000000000002,North Korea,220.1
Dem. Rep. Congo,109.28,Dem. Rep. Congo,0.985,Dem. Rep. Congo,0.985,Dem. Rep. Congo,0.048,Dem. Rep. Congo,48.2
Denmark,5.98,Denmark,0.988,Denmark,0.988,Denmark,0.271,Denmark,141.0
Djibouti,1.17,Djibouti,0.983,Djibouti,0.983,Djibouti,0.076,Djibouti,50.4
Dominica,0.07,Dominica,1.0,Dominica,1.0,Dominica,0.18899999999999997,Dominica,88.3
Dominican Rep.,11.43,Dominican Rep.,0.9890000000000001,Dominican Rep.,0.9890000000000001,Dominican Rep.,0.11800000000000001,Dominican Rep.,236.5
